Boca Juniors
TITULARES
Pos,N°,Jugador,Edad,Alt(cm)
ARQ,1,Sergio Romero,37,192
DEF,3,Marcelo Saracchi,26,172
DEF,40,Lautaro Di Lollo,20,187
DEF,2,Cristian Lema,34,190
DEF,23,Lautaro Blanco,25,183
MED,39,Vicente Taborda,22,175
MED,8,Guillermo Fernández,32,180
MED,36,Cristian Medina,21,178
MED,21,Ezequiel Fernández,21,178
DEL,10,Edinson Cavani,37,184
DEL,16,Miguel Merentiel,28,180
DT,Diego Martínez,45,
Promedio Titulares edad-altura:,28,182
SUPLENTES
ARQ,12,Leandro Brey,21,191
DEF,18,Frank Fabra,33,172
DEF,6,Marcos Rojo,34,187
DEF,34,Mateo Mendia,20,191
DEF,52,Walter Molas,19,178
MED,45,Mauricio Benitez,20,185
MED,47,Jabes Saralegui,21,181
MED,43,Milton Delgado,18,166
DEL,11,Lucas Janson,29,171
DEL,44,Ignacio Rodríguez,19,178
DEL,46,Juan Payal,18,168
DEL,41,Iker Zufiaurre,18,179
AMARILLAS
6' M. Saracchi; 76' E. Fernandez; 82' G. Fernandez; 90' L. Janson;
CAMBIOS
59' J. Saralegui ⇆ V. Taborda; 59' M. Rojo ⇆ M. Saracchi; 87' L. Janson ⇆ C. Medina;
