Dia,Tiempo,Equipo1,Equipo2,Resultado1,Resultado2,Goles1,Goles2
Viernes 24 de Mayo,Final,Riestra,Rosario Central,0,2,,9'L.M. Dupuy;88'F. Oviedo;
Viernes 24 de Mayo,Final,Tigre,Racing Club,0,4,,7'G. Martirena;45(+2)'A. Martinez;50'M. Salas;78'J. Quintero (pen.);
Viernes 24 de Mayo,Final,Belgrano,Central Cba (SdE),2,1,58'B. Reyna;68'B. Reyna;,45(+4)'T. Molina (pen.);
Viernes 24 de Mayo,Final,Lanus,Estudiantes (LP),2,1,46'M. Moreno;84'W. Bou;,65'E. Mancuso;
Sábado 25 de Mayo,Final,Argentinos,River Plate,1,0,40'A. Lescano;,
Sábado 25 de Mayo,Susp.,Godoy Cruz,San Lorenzo,1,1,35'N. Ulariaga;48'Suspendido por incidentes;,45(+14)'A. Giay;
Sábado 25 de Mayo,Final,Newells,Def y Justicia,1,0,80'A. Mendez;,
Sábado 25 de Mayo,Final,Boca Juniors,Talleres (C),0,0,,
Domingo 26 de Mayo,Final,Huracan,Instituto,1,0,90(+12)'I. Pussetto (pen.);,
Domingo 26 de Mayo,Final,Sarmiento (J),Ind Rivadavia,0,1,,86'G.G. Romero;
Domingo 26 de Mayo,Final,Gimnasia (LP),Banfield,3,0,74'R. Castillo;78'L. Castro;84'M. Abaldo;,
Domingo 26 de Mayo,Final,Independiente,Velez,1,1,63'G. Avalos;,32'C. Aquino (pen.);
Lunes 27 de Mayo,Final,Union,Barracas Central,2,0,44'J. Mosqueira;90(+4)'J. Domina;,
Lunes 27 de Mayo,Final,Atl Tucuman,Platense,1,1,82'M. Estigarribia;,53'M. Pellegrino (pen.);
