#,Equipo,Pts,PJ,PG,PE,PP,GF,GC,DIF
1,River Plate,6,2,2,0,0,6,0,+6
2,Talleres (C),6,2,2,0,0,5,1,+4
3,Estudiantes (LP),6,2,2,0,0,2,0,+2
4,Gimnasia (LP),4,2,1,1,0,4,2,+2
5,Huracan,4,2,1,1,0,4,2,+2
6,Ind Rivadavia,4,2,1,1,0,2,0,+2
7,Instituto,4,2,1,1,0,3,2,+1
8,Barracas Central,4,2,1,1,0,2,1,+1
9,Union,4,2,1,1,0,2,1,+1
10,Newells,3,1,1,0,0,2,0,+2
11,Boca Juniors,3,2,1,0,1,4,3,+1
12,Argentinos,3,1,1,0,0,3,2,+1
13,Riestra,3,2,1,0,1,1,1,0
14,Atl Tucuman,3,2,1,0,1,1,2,-1
15,Lanus,3,2,1,0,1,1,2,-1
16,Racing Club,1,1,0,1,0,4,4,0
17,Sarmiento (J),1,2,0,1,1,2,3,-1
18,Banfield,1,2,0,1,1,1,2,-1
19,Godoy Cruz,1,2,0,1,1,0,1,-1
20,Def y Justicia,1,2,0,1,1,2,4,-2
21,Independiente,1,2,0,1,1,1,3,-2
22,Platense,1,2,0,1,1,0,2,-2
23,Belgrano,1,2,0,1,1,4,7,-3
24,Rosario Central,0,1,0,0,1,2,3,-1
25,Tigre,0,1,0,0,1,0,1,-1
26,Velez,0,1,0,0,1,1,3,-2
27,San Lorenzo,0,2,0,0,2,0,2,-2
28,Central Cba (SdE),0,2,0,0,2,2,7,-5
