#,Equipo,Pts,PJ,PG,PE,PP,GF,GC,DIF
1,River Plate,33,16,9,6,1,32,10,+22
2,Estudiantes (LP),33,16,10,3,3,21,9,+12
3,Talleres (C),30,16,8,6,2,29,17,+12
4,Godoy Cruz,30,16,9,3,4,16,7,+9
5,Barracas Central,30,16,8,6,2,22,16,+6
6,Argentinos,29,15,8,5,2,28,16,+12
7,Boca Juniors,28,16,8,4,4,24,15,+9
8,Def y Justicia,27,16,7,6,3,19,17,+2
9,Lanus,26,16,8,2,6,21,16,+5
10,Racing Club,25,15,7,4,4,28,15,+13
11,Velez,25,15,7,4,4,15,16,-1
12,Union,24,16,6,6,4,18,15,+3
13,Independiente,24,16,6,6,4,15,13,+2
14,Newells,24,15,7,3,5,15,15,0
15,Instituto,21,16,6,3,7,21,19,+2
16,Huracan,20,16,5,5,6,16,14,+2
17,Gimnasia (LP),20,16,6,2,8,22,25,-3
18,Platense,19,16,4,7,5,10,16,-6
19,Banfield,18,16,4,6,6,15,17,-2
20,San Lorenzo,16,16,3,7,6,10,16,-6
21,Riestra,16,16,4,4,8,9,17,-8
22,Belgrano,15,16,3,6,7,23,28,-5
23,Rosario Central,15,15,4,3,8,12,21,-9
24,Atl Tucuman,13,16,2,7,7,9,25,-16
25,Ind Rivadavia,12,16,3,3,10,15,25,-10
26,Central Cba (SdE),11,16,2,5,9,12,27,-15
27,Sarmiento (J),10,16,2,4,10,11,22,-11
28,Tigre,5,15,1,2,12,7,26,-19
