#,Equipo,22,23,24,Pts,PJ,Prom
1,River Plate,76,85,33,194,98,1.979
2,Boca Juniors,79,62,28,169,98,1.724
3,Racing Club,80,60,25,165,97,1.701
4,Estudiantes (LP),61,62,33,156,98,1.591
5,Argentinos,67,54,29,150,97,1.546
6,Def y Justicia,65,58,27,150,98,1.530
7,Godoy Cruz,51,63,30,144,98,1.469
8,Talleres (C),46,67,30,143,98,1.459
9,Newells,63,53,24,140,97,1.443
10,San Lorenzo,58,64,16,138,98,1.408
11,Huracan,65,51,20,136,98,1.387
12,Barracas Central,53,49,30,132,98,1.346
13,Gimnasia (LP),65,45,20,130,98,1.326
14,Rosario Central,46,65,15,126,97,1.298
15,Independiente,51,51,24,126,98,1.285
16,Instituto,0,52,21,73,57,1.280
17,Atl Tucuman,57,54,13,124,98,1.265
18,Belgrano,0,57,15,72,57,1.263
19,Velez,46,49,25,120,97,1.237
20,Banfield,49,53,18,120,98,1.224
21,Lanus,36,57,26,119,98,1.214
22,Union,49,46,24,119,98,1.214
23,Tigre,63,47,5,115,97,1.185
24,Platense,42,54,19,115,98,1.173
25,Sarmiento (J),53,46,10,109,98,1.112
26,Central Cba (SdE),49,48,11,108,98,1.102
27,Riestra,0,0,16,16,16,1.000
28,Ind Rivadavia,0,0,12,12,16,0.750
