#,Equipo,23,24,Pts,PJ,Prom
1,River Plate,85,33,118,57,2.070
2,Talleres (C),67,30,97,57,1.701
3,Estudiantes (LP),62,33,95,57,1.666
4,Godoy Cruz,63,30,93,57,1.631
5,Boca Juniors,62,28,90,57,1.578
6,Racing Club,60,25,85,56,1.517
7,Def y Justicia,58,27,85,57,1.491
8,Argentinos,54,29,83,56,1.482
9,Lanus,57,26,83,57,1.456
10,Rosario Central,65,15,80,56,1.428
11,San Lorenzo,64,16,80,57,1.403
12,Barracas Central,49,30,79,57,1.385
13,Newells,53,24,77,56,1.375
14,Velez,49,25,74,56,1.321
15,Independiente,51,24,75,57,1.315
16,Instituto,52,21,73,57,1.280
17,Platense,54,19,73,57,1.280
18,Belgrano,57,15,72,57,1.263
19,Banfield,53,18,71,57,1.245
20,Huracan,51,20,71,57,1.245
21,Union,46,24,70,57,1.228
22,Atl Tucuman,54,13,67,57,1.175
23,Gimnasia (LP),45,20,65,57,1.140
24,Central Cba (SdE),48,11,59,57,1.035
25,Riestra,0,16,16,16,1.000
26,Sarmiento (J),46,10,56,57,0.982
27,Tigre,47,5,52,56,0.928
28,Ind Rivadavia,0,12,12,16,0.750
