Dia,Tiempo,Equipo1,Equipo2,Resultado1,Resultado2,Goles1,Goles2
Sábado 01 de Junio,Final,Racing Club,Riestra,1,0,90(+6)'S. Solari;,
Sábado 01 de Junio,Final,Belgrano,Argentinos,1,0,66'G. Heredia;,
Sábado 01 de Junio,Final,Velez,Atl Tucuman,1,1,62'C. Aquino;,31'M. Coronel;
Domingo 02 de Junio,Final,Platense,Boca Juniors,1,0,67'M. Pellegrino;,
Domingo 02 de Junio,Final,Central Cba (SdE),Talleres (C),2,4,45(+3)'T. Molina;74'T. Molina (pen.);,9'B. Barticciotto;48'B. Barticciotto;69'M. Portillo;78'G. Albarracin;
Domingo 02 de Junio,Final,Rosario Central,Lanus,1,1,90(+4)'M. Ruben;,23'F. Peña;
Domingo 02 de Junio,Final,Instituto,Gimnasia (LP),2,1,29'S. Rodriguez;81'G. Rodriguez;,5'M. Abaldo;
Domingo 02 de Junio,Final,River Plate,Tigre,3,1,13'M. Borja (pen.);53'M. Borja;58'M. Borja (pen.);,45(+3)'G. Maroni (pen.);
Lunes 03 de Junio,19:00,San Lorenzo,Sarmiento (J),,,,
Lunes 03 de Junio,21:15,Def y Justicia,Independiente,,,,
Lunes 03 de Junio,21:15,Estudiantes (LP),Godoy Cruz,,,,
Martes 04 de Junio,15:00,Barracas Central,Huracan,,,,
Martes 04 de Junio,20:00,Banfield,Newells,,,,
Martes 04 de Junio,20:00,Ind Rivadavia,Union,,,,
