#,Equipo,Pts,PJ,PG,PE,PP,GF,GC,DIF
1,River Plate,3,1,1,0,0,3,0,+3
2,Gimnasia (LP),3,1,1,0,0,3,1,+2
3,Huracan,3,1,1,0,0,3,1,+2
4,Talleres (C),3,1,1,0,0,3,1,+2
5,Ind Rivadavia,3,1,1,0,0,2,0,+2
6,Newells,3,1,1,0,0,2,0,+2
7,Argentinos,3,1,1,0,0,3,2,+1
8,Instituto,3,1,1,0,0,2,1,+1
9,Atl Tucuman,3,1,1,0,0,1,0,+1
10,Barracas Central,3,1,1,0,0,1,0,+1
11,Estudiantes (LP),3,1,1,0,0,1,0,+1
12,Riestra,3,1,1,0,0,1,0,+1
13,Union,3,1,1,0,0,1,0,+1
14,Belgrano,1,1,0,1,0,4,4,0
15,Racing Club,1,1,0,1,0,4,4,0
16,Rosario Central,0,1,0,0,1,2,3,-1
17,Sarmiento (J),0,1,0,0,1,1,2,-1
18,Banfield,0,1,0,0,1,0,1,-1
19,Boca Juniors,0,1,0,0,1,0,1,-1
20,Godoy Cruz,0,1,0,0,1,0,1,-1
21,San Lorenzo,0,1,0,0,1,0,1,-1
22,Tigre,0,1,0,0,1,0,1,-1
23,Def y Justicia,0,1,0,0,1,1,3,-2
24,Independiente,0,1,0,0,1,1,3,-2
25,Velez,0,1,0,0,1,1,3,-2
26,Lanus,0,1,0,0,1,0,2,-2
27,Platense,0,1,0,0,1,0,2,-2
28,Central Cba (SdE),0,1,0,0,1,0,3,-3
