#,Equipo,Pts,PJ,PG,PE,PP,GF,GC,DIF
1,River Plate,30,15,8,6,1,29,10,+19
2,Estudiantes (LP),30,15,9,3,3,20,9,+11
3,Argentinos,29,15,8,5,2,28,16,+12
4,Godoy Cruz,29,15,9,2,4,16,7,+9
5,Barracas Central,29,15,8,5,2,21,15,+6
6,Talleres (C),27,15,7,6,2,27,17,+10
7,Def y Justicia,26,15,7,5,3,18,16,+2
8,Racing Club,25,15,7,4,4,28,15,+13
9,Boca Juniors,25,15,7,4,4,20,13,+7
10,Velez,25,15,7,4,4,15,16,-1
11,Newells,24,15,7,3,5,15,15,0
12,Lanus,23,15,7,2,6,20,16,+4
13,Union,23,15,6,5,4,17,14,+3
14,Independiente,23,15,6,5,4,15,13,+2
15,Instituto,20,15,6,2,7,20,18,+2
16,Huracan,19,15,5,4,6,15,13,+2
17,Gimnasia (LP),19,15,6,1,8,21,24,-3
18,Platense,18,15,4,6,5,10,16,-6
19,Banfield,17,15,4,5,6,14,16,-2
20,San Lorenzo,16,15,3,7,5,10,15,-5
21,Riestra,16,15,4,4,7,9,16,-7
22,Belgrano,15,15,3,6,6,23,25,-2
23,Rosario Central,15,15,4,3,8,12,21,-9
24,Atl Tucuman,13,15,2,7,6,9,23,-14
25,Ind Rivadavia,11,15,3,2,10,15,25,-10
26,Central Cba (SdE),11,15,2,5,8,10,23,-13
27,Sarmiento (J),9,15,2,3,10,10,21,-11
28,Tigre,5,15,1,2,12,7,26,-19
