#,Equipo,Pts,PJ,PG,PE,PP,GF,GC,DIF
1,River Plate,33,17,9,6,2,32,11,+21
2,Estudiantes (LP),33,17,10,3,4,23,11,+12
3,Argentinos,32,17,9,5,3,29,19,+10
4,Racing Club,31,17,9,4,4,35,15,+20
5,Talleres (C),31,17,8,7,2,29,17,+12
6,Godoy Cruz,30,16,9,3,4,16,7,+9
7,Barracas Central,30,17,8,6,3,22,18,+4
8,Boca Juniors,29,17,8,5,4,24,15,+9
9,Velez,29,17,8,5,4,17,17,0
10,Lanus,27,17,8,3,6,23,18,+5
11,Union,27,17,7,6,4,20,15,+5
12,Def y Justicia,27,17,7,6,4,19,18,+1
13,Newells,27,17,8,3,6,16,16,0
14,Independiente,25,17,6,7,4,16,14,+2
15,Huracan,23,17,6,5,6,17,14,+3
16,Gimnasia (LP),23,17,7,2,8,25,25,0
17,Instituto,21,17,6,3,8,21,20,+1
18,Platense,20,17,4,8,5,11,17,-6
19,Rosario Central,19,17,5,4,8,15,22,-7
20,Belgrano,18,17,4,6,7,25,29,-4
21,Banfield,18,17,4,6,7,15,20,-5
22,San Lorenzo,17,16,3,8,5,11,16,-5
23,Riestra,16,17,4,4,9,9,20,-11
24,Ind Rivadavia,15,17,4,3,10,16,25,-9
25,Atl Tucuman,14,17,2,8,7,10,26,-16
26,Central Cba (SdE),11,17,2,5,10,13,29,-16
27,Sarmiento (J),10,17,2,4,11,11,23,-12
28,Tigre,6,17,1,3,13,8,31,-23
