Jugador,Goles,(Penal)
F. Colidio (River Plate),3,( 0 )
F. Jara (Belgrano),3,( 0 )
I. Pussetto (Huracan),3,( 2 )
R. Martinez (Racing Club),3,( 1 )
S. Rodriguez (Instituto),3,( 0 )
A. Lescano (Argentinos),2,( 1 )
B. Reyna (Belgrano),2,( 0 )
E. Fernandez (Boca Juniors),2,( 0 )
G. Martirena (Racing Club),2,( 0 )
H. Fertoli (Huracan),2,( 0 )
J. Domina (Union),2,( 0 )
M. Abaldo (Gimnasia (LP)),2,( 0 )
M. Merentiel (Boca Juniors),2,( 0 )
R. Castillo (Gimnasia (LP)),2,( 0 )
R. Sosa (Talleres (C)),2,( 0 )
W. Bou (Lanus),2,( 0 )
