#,Equipo,22,23,24,Pts,PJ,Prom
1,River Plate,76,85,33,194,99,1.959
2,Racing Club,80,60,31,171,99,1.727
3,Boca Juniors,79,62,29,170,99,1.717
4,Estudiantes (LP),61,62,33,156,99,1.575
5,Argentinos,67,54,32,153,99,1.545
6,Def y Justicia,65,58,27,150,99,1.515
7,Godoy Cruz,51,63,30,144,98,1.469
8,Talleres (C),46,67,31,144,99,1.454
9,Newells,63,53,27,143,99,1.444
10,San Lorenzo,58,64,17,139,98,1.418
11,Huracan,65,51,23,139,99,1.404
12,Gimnasia (LP),65,45,23,133,99,1.343
13,Barracas Central,53,49,30,132,99,1.333
14,Rosario Central,46,65,19,130,99,1.313
15,Belgrano,0,57,18,75,58,1.293
16,Independiente,51,51,25,127,99,1.282
17,Atl Tucuman,57,54,14,125,99,1.262
18,Instituto,0,52,21,73,58,1.258
19,Velez,46,49,29,124,99,1.252
20,Union,49,46,27,122,99,1.232
21,Banfield,49,53,18,120,99,1.212
22,Lanus,36,57,27,120,99,1.212
23,Platense,42,54,20,116,99,1.171
24,Tigre,63,47,6,116,99,1.171
25,Sarmiento (J),53,46,10,109,99,1.101
26,Central Cba (SdE),49,48,11,108,99,1.090
27,Riestra,0,0,16,16,17,0.941
28,Ind Rivadavia,0,0,15,15,17,0.882
