Dia,Tiempo,Equipo1,Equipo2,Resultado1,Resultado2,Goles1,Goles2,Game-info
Sábado 01 de Junio,Final,Racing Club,Riestra,1,0,90(+6)' S. Solari;,,ficha=xjpnxjsktscv&c=14&v=DdoFT69L9Ak
Sábado 01 de Junio,Final,Belgrano,Argentinos,1,0,66' G. Heredia;,,ficha=xjpnxjsktqq&c=14&v=aqLUW2v2CDQ
Sábado 01 de Junio,Final,Velez,Atl Tucuman,1,1,62' C. Aquino;,31' M. Coronel;,ficha=xjpnxjsktss&c=14&v=HsGelpZX3Yw
Domingo 02 de Junio,Final,Platense,Boca Juniors,1,0,67' M. Pellegrino;,,ficha=xjpnxjsxjcvcv&c=14&v=gIjO2m4Zqzo
Domingo 02 de Junio,Final,Central Cba (SdE),Talleres (C),2,4,45(+3)' T. Molina;74' T. Molina (pen.);,9' B. Barticciotto;48' B. Barticciotto;69' M. Portillo;78' G. Albarracin;,ficha=xjpnxjsxjcvg&c=14&v=g3RWyz7OEjM
Domingo 02 de Junio,Final,Rosario Central,Lanus,1,1,90(+4)' M. Ruben;,23' F. Peña;,ficha=xjpnxjsktsg&c=14&v=5lvOzIfowLM
Domingo 02 de Junio,Final,Instituto,Gimnasia (LP),2,1,29' S. Rodriguez;81' G. Rodriguez;,5' M. Abaldo;,ficha=xjpnxjsktskt&c=14&v=7RxYizbfmV0
Domingo 02 de Junio,Final,River Plate,Tigre,3,1,13' M. Borja (pen.);53' M. Borja;58' M. Borja (pen.);,45(+3)' G. Maroni (pen.);,ficha=xjpnxjsktqs&c=14&v=Wwj1zOIn3w0
Lunes 03 de Junio,Final,San Lorenzo,Sarmiento (J),0,1,,70' M. Garcia;,ficha=xjpnxjsktsz&c=14&v=LYby9VgIOjg
Lunes 03 de Junio,Final,Def y Justicia,Independiente,0,0,,,ficha=xjpnxjsktsq&c=14&v=McqI5o6_CnM
Lunes 03 de Junio,Final,Estudiantes (LP),Godoy Cruz,1,1,86' Z. Romero;,24' V. Poggi;,ficha=xjpnxjsktsy&c=14&v=v3tniDoLWUA
Martes 04 de Junio,Final,Barracas Central,Huracan,0,2,,42' I. Pussetto;87' H. Fertoli;,ficha=xjpnxjsktspn&c=14&v=3A1oqwF0Lc0
Martes 04 de Junio,Final,Banfield,Newells,2,0,88' M. Gimenez (pen.);90' M. Gimenez;,,ficha=xjpnxjsktsxj&c=14&v=F1G5lnb4cno
Martes 04 de Junio,Final,Ind Rivadavia,Union,0,1,,63' A. Balboa (pen.);,ficha=xjpnxjsktsrd&c=14&v=TqQl7Z3LNMY
