Talleres (C)
TITULARES
Pos,N°,Jugador,Edad,Alt(cm)
ARQ,22,Guido Herrera,32,187
DEF,29,Gastón Benavidez,28,175
DEF,28,Juan Portillo,24,183
DEF,3,Lucas Suárez,29,176
DEF,16,Miguel Navarro,25,175
MED,20,Rubén Botta,34,175
MED,30,Diego Ortegoza,27,180
MED,26,Marcos Portillo,24,178
DEL,11,Valentin Depietri,23,178
DEL,9,Federico Girotti,24,189
DEL,24,Ramón Sosa,24,178
DT,Walter Ribonetto,49,
Promedio Titulares edad-altura:,27,179
SUPLENTES
ARQ,17,Lautaro Morales,24,187
DEF,15,Blás Riveros,26,178
DEF,6,Juan Rodríguez,30,180
DEF,2,Alex Vigo,25,175
MED,27,Juan Portilla,25,185
MED,8,Matías Galarza,22,175
MED,14,Alejandro Martínez,26,171
MED,5,Kevin Mantilla,21,185
MED,38,Gustavo Albarracín,18,
DEL,10,Nahuel Bustos,25,176
DEL,18,Ramiro Ruiz Rodriguez,24,185
DEL,32,Bruno Barticciotto,23,177
AMARILLAS
33' V. Depietri; 39' M. Portillo; 90' J. Portilla;
CAMBIOS
68' J. Portilla ⇆ D. Ortegoza (Lesion); 79' B. Barticciotto ⇆ V. Depietri; 79' M. Galarza ⇆ M. Portillo; 87' N. Bustos ⇆ R. Sosa;
