#,Equipo,23,24,Pts,PJ,Prom
1,River Plate,85,33,118,58,2.034
2,Talleres (C),67,31,98,58,1.689
3,Estudiantes (LP),62,33,95,58,1.637
4,Godoy Cruz,63,30,93,57,1.631
5,Boca Juniors,62,29,91,58,1.568
6,Racing Club,60,31,91,58,1.568
7,Argentinos,54,32,86,58,1.482
8,Def y Justicia,58,27,85,58,1.465
9,Lanus,57,27,84,58,1.448
10,Rosario Central,65,19,84,58,1.448
11,San Lorenzo,64,17,81,57,1.421
12,Newells,53,27,80,58,1.379
13,Barracas Central,49,30,79,58,1.362
14,Velez,49,29,78,58,1.344
15,Independiente,51,25,76,58,1.310
16,Belgrano,57,18,75,58,1.293
17,Huracan,51,23,74,58,1.275
18,Platense,54,20,74,58,1.275
19,Instituto,52,21,73,58,1.258
20,Union,46,27,73,58,1.258
21,Banfield,53,18,71,58,1.224
22,Atl Tucuman,54,14,68,58,1.172
23,Gimnasia (LP),45,23,68,58,1.172
24,Central Cba (SdE),48,11,59,58,1.017
25,Sarmiento (J),46,10,56,58,0.965
26,Riestra,0,16,16,17,0.941
27,Tigre,47,6,53,58,0.913
28,Ind Rivadavia,0,15,15,17,0.882
